"period_label","period_hour","time_offset_sec","timestamp","node_id","node_name","node_type","lon","lat","x_m","y_m","users_present","serving_bs_id","serving_bs_idx"
"peak",12,1,"2025-01-01 12:00:01","POI_8","Basilica_Massenzio_West","internal_poi",12.4894,41.8909,291715.957712805,4640711.12157789,1,"BS_5",5
"peak",12,1,"2025-01-01 12:00:01","POI_9","Via_San_Gregorio_South","internal_poi",12.4925,41.8889,291966.663962061,4640481.51939171,3,"BS_6",6
"peak",12,1,"2025-01-01 12:00:01","POI_10","Celio_Vibenna_SW","internal_poi",12.4909,41.8894,291835.535935418,4640540.92146505,2,"BS_1",1
"peak",12,1,"2025-01-01 12:00:01","POI_11","Fori_NW_Corridor","internal_poi",12.4886,41.8919,291652.835490837,4640824.10358987,0,"BS_11",11
"peak",12,1,"2025-01-01 12:00:01","RING_1","East_Gateway","outer_ring",12.5056106953978,41.8900729164382,293058.249447481,4640580.0345363,1,NA,NA
"peak",12,1,"2025-01-01 12:00:01","RING_2","NorthEast_Gateway","outer_ring",12.5011216778201,41.8975472301072,292709.987386185,4641420.81352794,0,NA,NA
"peak",12,1,"2025-01-01 12:00:01","RING_3","North_Gateway","outer_ring",12.4908727144451,41.9004600181654,291869.208394544,4641769.07558924,1,NA,NA
"peak",12,1,"2025-01-01 12:00:01","RING_4","NorthWest_Gateway","outer_ring",12.4808693563532,41.8971044688183,291028.429402902,4641420.81352794,1,NA,NA
"peak",12,1,"2025-01-01 12:00:01","RING_5","West_Gateway","outer_ring",12.4769729611165,41.8894469226425,290680.167341606,4640580.0345363,0,NA,NA
"peak",12,1,"2025-01-01 12:00:01","RING_6","SouthWest_Gateway","outer_ring",12.4814641364389,41.8819736057984,291028.429402902,4639739.25554466,1,NA,NA
"peak",12,1,"2025-01-01 12:00:01","RING_7","South_Gateway","outer_ring",12.4917104880567,41.879061580949,291869.208394543,4639390.99348336,2,NA,NA
"peak",12,1,"2025-01-01 12:00:01","RING_8","SouthEast_Gateway","outer_ring",12.5017116884038,41.8824161334713,292709.987386185,4639739.25554466,0,NA,NA
"peak",12,2,"2025-01-01 12:00:02","POI_1","Colosseo_Monument","internal_poi",12.4923,41.8902,291954.291031947,4640626.35454427,0,"BS_10",10
"peak",12,2,"2025-01-01 12:00:02","POI_2","Colosseo_Metro","internal_poi",12.4922,41.89,291945.344737579,4640604.38948788,1,"BS_6",6
"peak",12,2,"2025-01-01 12:00:02","POI_3","Fori_Imperiali_Access","internal_poi",12.4908,41.892,291835.686465946,4640829.86417007,1,"BS_10",10
"peak",12,2,"2025-01-01 12:00:02","POI_4","Arco_di_Costantino","internal_poi",12.4915,41.8897,291886.292126329,4640572.7766213,1,"BS_1",1
"peak",12,2,"2025-01-01 12:00:02","POI_5","Via_Labicana_East","internal_poi",12.4949,41.8891,292166.441296483,4640497.90741843,1,"BS_4",4
"peak",12,2,"2025-01-01 12:00:02","POI_6","Ludus_Magnus_NE","internal_poi",12.494,41.8911,292098.258000928,4640722.16593515,3,"BS_9",9
"peak",12,2,"2025-01-01 12:00:02","POI_7","Parco_Oppio_North","internal_poi",12.4937,41.8921,292076.613112981,4640833.93178054,1,"BS_9",9
"peak",12,2,"2025-01-01 12:00:02","POI_8","Basilica_Massenzio_West","internal_poi",12.4894,41.8909,291715.957712805,4640711.12157789,1,"BS_5",5
"peak",12,2,"2025-01-01 12:00:02","POI_9","Via_San_Gregorio_South","internal_poi",12.4925,41.8889,291966.663962061,4640481.51939171,3,"BS_6",6
"peak",12,2,"2025-01-01 12:00:02","POI_10","Celio_Vibenna_SW","internal_poi",12.4909,41.8894,291835.535935418,4640540.92146505,2,"BS_1",1
"peak",12,2,"2025-01-01 12:00:02","POI_11","Fori_NW_Corridor","internal_poi",12.4886,41.8919,291652.835490837,4640824.10358987,0,"BS_11",11
"peak",12,2,"2025-01-01 12:00:02","RING_1","East_Gateway","outer_ring",12.5056106953978,41.8900729164382,293058.249447481,4640580.0345363,1,NA,NA
"peak",12,2,"2025-01-01 12:00:02","RING_2","NorthEast_Gateway","outer_ring",12.5011216778201,41.8975472301072,292709.987386185,4641420.81352794,0,NA,NA
"peak",12,2,"2025-01-01 12:00:02","RING_3","North_Gateway","outer_ring",12.4908727144451,41.9004600181654,291869.208394544,4641769.07558924,1,NA,NA
"peak",12,2,"2025-01-01 12:00:02","RING_4","NorthWest_Gateway","outer_ring",12.4808693563532,41.8971044688183,291028.429402902,4641420.81352794,1,NA,NA
"peak",12,2,"2025-01-01 12:00:02","RING_5","West_Gateway","outer_ring",12.4769729611165,41.8894469226425,290680.167341606,4640580.0345363,0,NA,NA
"peak",12,2,"2025-01-01 12:00:02","RING_6","SouthWest_Gateway","outer_ring",12.4814641364389,41.8819736057984,291028.429402902,4639739.25554466,1,NA,NA
"peak",12,2,"2025-01-01 12:00:02","RING_7","South_Gateway","outer_ring",12.4917104880567,41.879061580949,291869.208394543,4639390.99348336,2,NA,NA
"peak",12,2,"2025-01-01 12:00:02","RING_8","SouthEast_Gateway","outer_ring",12.5017116884038,41.8824161334713,292709.987386185,4639739.25554466,0,NA,NA
"peak",12,3,"2025-01-01 12:00:03","POI_1","Colosseo_Monument","internal_poi",12.4923,41.8902,291954.291031947,4640626.35454427,0,"BS_10",10
"peak",12,3,"2025-01-01 12:00:03","POI_2","Colosseo_Metro","internal_poi",12.4922,41.89,291945.344737579,4640604.38948788,1,"BS_6",6
"peak",12,3,"2025-01-01 12:00:03","POI_3","Fori_Imperiali_Access","internal_poi",12.4908,41.892,291835.686465946,4640829.86417007,1,"BS_10",10
"peak",12,3,"2025-01-01 12:00:03","POI_4","Arco_di_Costantino","internal_poi",12.4915,41.8897,291886.292126329,4640572.7766213,1,"BS_1",1
"peak",12,3,"2025-01-01 12:00:03","POI_5","Via_Labicana_East","internal_poi",12.4949,41.8891,292166.441296483,4640497.90741843,1,"BS_4",4
"peak",12,3,"2025-01-01 12:00:03","POI_6","Ludus_Magnus_NE","internal_poi",12.494,41.8911,292098.258000928,4640722.16593515,2,"BS_9",9
"peak",12,3,"2025-01-01 12:00:03","POI_7","Parco_Oppio_North","internal_poi",12.4937,41.8921,292076.613112981,4640833.93178054,1,"BS_9",9
"peak",12,3,"2025-01-01 12:00:03","POI_8","Basilica_Massenzio_West","internal_poi",12.4894,41.8909,291715.957712805,4640711.12157789,2,"BS_5",5
"peak",12,3,"2025-01-01 12:00:03","POI_9","Via_San_Gregorio_South","internal_poi",12.4925,41.8889,291966.663962061,4640481.51939171,3,"BS_6",6
"peak",12,3,"2025-01-01 12:00:03","POI_10","Celio_Vibenna_SW","internal_poi",12.4909,41.8894,291835.535935418,4640540.92146505,2,"BS_1",1
"peak",12,3,"2025-01-01 12:00:03","POI_11","Fori_NW_Corridor","internal_poi",12.4886,41.8919,291652.835490837,4640824.10358987,0,"BS_11",11
"peak",12,3,"2025-01-01 12:00:03","RING_1","East_Gateway","outer_ring",12.5056106953978,41.8900729164382,293058.249447481,4640580.0345363,1,NA,NA
"peak",12,3,"2025-01-01 12:00:03","RING_2","NorthEast_Gateway","outer_ring",12.5011216778201,41.8975472301072,292709.987386185,4641420.81352794,0,NA,NA
"peak",12,3,"2025-01-01 12:00:03","RING_3","North_Gateway","outer_ring",12.4908727144451,41.9004600181654,291869.208394544,4641769.07558924,1,NA,NA
"peak",12,3,"2025-01-01 12:00:03","RING_4","NorthWest_Gateway","outer_ring",12.4808693563532,41.8971044688183,291028.429402902,4641420.81352794,1,NA,NA
"peak",12,3,"2025-01-01 12:00:03","RING_5","West_Gateway","outer_ring",12.4769729611165,41.8894469226425,290680.167341606,4640580.0345363,0,NA,NA
"peak",12,3,"2025-01-01 12:00:03","RING_6","SouthWest_Gateway","outer_ring",12.4814641364389,41.8819736057984,291028.429402902,4639739.25554466,1,NA,NA
"peak",12,3,"2025-01-01 12:00:03","RING_7","South_Gateway","outer_ring",12.4917104880567,41.879061580949,291869.208394543,4639390.99348336,2,NA,NA
"peak",12,3,"2025-01-01 12:00:03","RING_8","SouthEast_Gateway","outer_ring",12.5017116884038,41.8824161334713,292709.987386185,4639739.25554466,0,NA,NA
"peak",12,4,"2025-01-01 12:00:04","POI_1","Colosseo_Monument","internal_poi",12.4923,41.8902,291954.291031947,4640626.35454427,0,"BS_10",10
"peak",12,4,"2025-01-01 12:00:04","POI_2","Colosseo_Metro","internal_poi",12.4922,41.89,291945.344737579,4640604.38948788,1,"BS_6",6
"peak",12,4,"2025-01-01 12:00:04","POI_3","Fori_Imperiali_Access","internal_poi",12.4908,41.892,291835.686465946,4640829.86417007,2,"BS_10",10
"peak",12,4,"2025-01-01 12:00:04","POI_4","Arco_di_Costantino","internal_poi",12.4915,41.8897,291886.292126329,4640572.7766213,1,"BS_1",1
"peak",12,4,"2025-01-01 12:00:04","POI_5","Via_Labicana_East","internal_poi",12.4949,41.8891,292166.441296483,4640497.90741843,1,"BS_4",4
"peak",12,4,"2025-01-01 12:00:04","POI_6","Ludus_Magnus_NE","internal_poi",12.494,41.8911,292098.258000928,4640722.16593515,2,"BS_9",9
"peak",12,4,"2025-01-01 12:00:04","POI_7","Parco_Oppio_North","internal_poi",12.4937,41.8921,292076.613112981,4640833.93178054,1,"BS_9",9
"peak",12,4,"2025-01-01 12:00:04","POI_8","Basilica_Massenzio_West","internal_poi",12.4894,41.8909,291715.957712805,4640711.12157789,3,"BS_5",5
"peak",12,4,"2025-01-01 12:00:04","POI_9","Via_San_Gregorio_South","internal_poi",12.4925,41.8889,291966.663962061,4640481.51939171,3,"BS_6",6
"peak",12,4,"2025-01-01 12:00:04","POI_10","Celio_Vibenna_SW","internal_poi",12.4909,41.8894,291835.535935418,4640540.92146505,0,"BS_1",1
"peak",12,4,"2025-01-01 12:00:04","POI_11","Fori_NW_Corridor","internal_poi",12.4886,41.8919,291652.835490837,4640824.10358987,1,"BS_11",11
"peak",12,4,"2025-01-01 12:00:04","RING_1","East_Gateway","outer_ring",12.5056106953978,41.8900729164382,293058.249447481,4640580.0345363,0,NA,NA
"peak",12,4,"2025-01-01 12:00:04","RING_2","NorthEast_Gateway","outer_ring",12.5011216778201,41.8975472301072,292709.987386185,4641420.81352794,0,NA,NA
"peak",12,4,"2025-01-01 12:00:04","RING_3","North_Gateway","outer_ring",12.4908727144451,41.9004600181654,291869.208394544,4641769.07558924,1,NA,NA
"peak",12,4,"2025-01-01 12:00:04","RING_4","NorthWest_Gateway","outer_ring",12.4808693563532,41.8971044688183,291028.429402902,4641420.81352794,1,NA,NA
"peak",12,4,"2025-01-01 12:00:04","RING_5","West_Gateway","outer_ring",12.4769729611165,41.8894469226425,290680.167341606,4640580.0345363,0,NA,NA
"peak",12,4,"2025-01-01 12:00:04","RING_6","SouthWest_Gateway","outer_ring",12.4814641364389,41.8819736057984,291028.429402902,4639739.25554466,1,NA,NA
"peak",12,4,"2025-01-01 12:00:04","RING_7","South_Gateway","outer_ring",12.4917104880567,41.879061580949,291869.208394543,4639390.99348336,2,NA,NA
"peak",12,4,"2025-01-01 12:00:04","RING_8","SouthEast_Gateway","outer_ring",12.5017116884038,41.8824161334713,292709.987386185,4639739.25554466,0,NA,NA
"peak",12,5,"2025-01-01 12:00:05","POI_1","Colosseo_Monument","internal_poi",12.4923,41.8902,291954.291031947,4640626.35454427,0,"BS_10",10
"peak",12,5,"2025-01-01 12:00:05","POI_2","Colosseo_Metro","internal_poi",12.4922,41.89,291945.344737579,4640604.38948788,0,"BS_6",6
"peak",12,5,"2025-01-01 12:00:05","POI_3","Fori_Imperiali_Access","internal_poi",12.4908,41.892,291835.686465946,4640829.86417007,2,"BS_10",10
"peak",12,5,"2025-01-01 12:00:05","POI_4","Arco_di_Costantino","internal_poi",12.4915,41.8897,291886.292126329,4640572.7766213,1,"BS_1",1
"peak",12,5,"2025-01-01 12:00:05","POI_5","Via_Labicana_East","internal_poi",12.4949,41.8891,292166.441296483,4640497.90741843,1,"BS_4",4
"peak",12,5,"2025-01-01 12:00:05","POI_6","Ludus_Magnus_NE","internal_poi",12.494,41.8911,292098.258000928,4640722.16593515,2,"BS_9",9
"peak",12,5,"2025-01-01 12:00:05","POI_7","Parco_Oppio_North","internal_poi",12.4937,41.8921,292076.613112981,4640833.93178054,1,"BS_9",9
"peak",12,5,"2025-01-01 12:00:05","POI_8","Basilica_Massenzio_West","internal_poi",12.4894,41.8909,291715.957712805,4640711.12157789,3,"BS_5",5
"peak",12,5,"2025-01-01 12:00:05","POI_9","Via_San_Gregorio_South","internal_poi",12.4925,41.8889,291966.663962061,4640481.51939171,3,"BS_6",6
"peak",12,5,"2025-01-01 12:00:05","POI_10","Celio_Vibenna_SW","internal_poi",12.4909,41.8894,291835.535935418,4640540.92146505,0,"BS_1",1
"peak",12,5,"2025-01-01 12:00:05","POI_11","Fori_NW_Corridor","internal_poi",12.4886,41.8919,291652.835490837,4640824.10358987,2,"BS_11",11
"peak",12,5,"2025-01-01 12:00:05","RING_1","East_Gateway","outer_ring",12.5056106953978,41.8900729164382,293058.249447481,4640580.0345363,0,NA,NA
"peak",12,5,"2025-01-01 12:00:05","RING_2","NorthEast_Gateway","outer_ring",12.5011216778201,41.8975472301072,292709.987386185,4641420.81352794,0,NA,NA
"peak",12,5,"2025-01-01 12:00:05","RING_3","North_Gateway","outer_ring",12.4908727144451,41.9004600181654,291869.208394544,4641769.07558924,1,NA,NA
"peak",12,5,"2025-01-01 12:00:05","RING_4","NorthWest_Gateway","outer_ring",12.4808693563532,41.8971044688183,291028.429402902,4641420.81352794,1,NA,NA
"peak",12,5,"2025-01-01 12:00:05","RING_5","West_Gateway","outer_ring",12.4769729611165,41.8894469226425,290680.167341606,4640580.0345363,0,NA,NA
"peak",12,5,"2025-01-01 12:00:05","RING_6","SouthWest_Gateway","outer_ring",12.4814641364389,41.8819736057984,291028.429402902,4639739.25554466,1,NA,NA
"peak",12,5,"2025-01-01 12:00:05","RING_7","South_Gateway","outer_ring",12.4917104880567,41.879061580949,291869.208394543,4639390.99348336,2,NA,NA
"peak",12,5,"2025-01-01 12:00:05","RING_8","SouthEast_Gateway","outer_ring",12.5017116884038,41.8824161334713,292709.987386185,4639739.25554466,0,NA,NA
"peak",12,6,"2025-01-01 12:00:06","POI_1","Colosseo_Monument","internal_poi",12.4923,41.8902,291954.291031947,4640626.35454427,0,"BS_10",10
"peak",12,6,"2025-01-01 12:00:06","POI_2","Colosseo_Metro","internal_poi",12.4922,41.89,291945.344737579,4640604.38948788,1,"BS_6",6
"peak",12,6,"2025-01-01 12:00:06","POI_3","Fori_Imperiali_Access","internal_poi",12.4908,41.892,291835.686465946,4640829.86417007,2,"BS_10",10
"peak",12,6,"2025-01-01 12:00:06","POI_4","Arco_di_Costantino","internal_poi",12.4915,41.8897,291886.292126329,4640572.7766213,2,"BS_1",1
"peak",12,6,"2025-01-01 12:00:06","POI_5","Via_Labicana_East","internal_poi",12.4949,41.8891,292166.441296483,4640497.90741843,2,"BS_4",4
"peak",12,6,"2025-01-01 12:00:06","POI_6","Ludus_Magnus_NE","internal_poi",12.494,41.8911,292098.258000928,4640722.16593515,2,"BS_9",9
"peak",12,6,"2025-01-01 12:00:06","POI_7","Parco_Oppio_North","internal_poi",12.4937,41.8921,292076.613112981,4640833.93178054,1,"BS_9",9
"peak",12,6,"2025-01-01 12:00:06","POI_8","Basilica_Massenzio_West","internal_poi",12.4894,41.8909,291715.957712805,4640711.12157789,3,"BS_5",5
"peak",12,6,"2025-01-01 12:00:06","POI_9","Via_San_Gregorio_South","internal_poi",12.4925,41.8889,291966.663962061,4640481.51939171,1,"BS_6",6
"peak",12,6,"2025-01-01 12:00:06","POI_10","Celio_Vibenna_SW","internal_poi",12.4909,41.8894,291835.535935418,4640540.92146505,0,"BS_1",1
"peak",12,6,"2025-01-01 12:00:06","POI_11","Fori_NW_Corridor","internal_poi",12.4886,41.8919,291652.835490837,4640824.10358987,2,"BS_11",11
"peak",12,6,"2025-01-01 12:00:06","RING_1","East_Gateway","outer_ring",12.5056106953978,41.8900729164382,293058.249447481,4640580.0345363,0,NA,NA
"peak",12,6,"2025-01-01 12:00:06","RING_2","NorthEast_Gateway","outer_ring",12.5011216778201,41.8975472301072,292709.987386185,4641420.81352794,0,NA,NA
"peak",12,6,"2025-01-01 12:00:06","RING_3","North_Gateway","outer_ring",12.4908727144451,41.9004600181654,291869.208394544,4641769.07558924,1,NA,NA
"peak",12,6,"2025-01-01 12:00:06","RING_4","NorthWest_Gateway","outer_ring",12.4808693563532,41.8971044688183,291028.429402902,4641420.81352794,1,NA,NA
"peak",12,6,"2025-01-01 12:00:06","RING_5","West_Gateway","outer_ring",12.4769729611165,41.8894469226425,290680.167341606,4640580.0345363,0,NA,NA
"peak",12,6,"2025-01-01 12:00:06","RING_6","SouthWest_Gateway","outer_ring",12.4814641364389,41.8819736057984,291028.429402902,4639739.25554466,1,NA,NA
"peak",12,6,"2025-01-01 12:00:06","RING_7","South_Gateway","outer_ring",12.4917104880567,41.879061580949,291869.208394543,4639390.99348336,1,NA,NA
"peak",12,6,"2025-01-01 12:00:06","RING_8","SouthEast_Gateway","outer_ring",12.5017116884038,41.8824161334713,292709.987386185,4639739.25554466,0,NA,NA
"peak",12,7,"2025-01-01 12:00:07","POI_1","Colosseo_Monument","internal_poi",12.4923,41.8902,291954.291031947,4640626.35454427,0,"BS_10",10
"peak",12,7,"2025-01-01 12:00:07","POI_2","Colosseo_Metro","internal_poi",12.4922,41.89,291945.344737579,4640604.38948788,1,"BS_6",6
"peak",12,7,"2025-01-01 12:00:07","POI_3","Fori_Imperiali_Access","internal_poi",12.4908,41.892,291835.686465946,4640829.86417007,2,"BS_10",10
"peak",12,7,"2025-01-01 12:00:07","POI_4","Arco_di_Costantino","internal_poi",12.4915,41.8897,291886.292126329,4640572.7766213,2,"BS_1",1
"peak",12,7,"2025-01-01 12:00:07","POI_5","Via_Labicana_East","internal_poi",12.4949,41.8891,292166.441296483,4640497.90741843,1,"BS_4",4
"peak",12,7,"2025-01-01 12:00:07","POI_6","Ludus_Magnus_NE","internal_poi",12.494,41.8911,292098.258000928,4640722.16593515,1,"BS_9",9
"peak",12,7,"2025-01-01 12:00:07","POI_7","Parco_Oppio_North","internal_poi",12.4937,41.8921,292076.613112981,4640833.93178054,1,"BS_9",9
"peak",12,7,"2025-01-01 12:00:07","POI_8","Basilica_Massenzio_West","internal_poi",12.4894,41.8909,291715.957712805,4640711.12157789,3,"BS_5",5
"peak",12,7,"2025-01-01 12:00:07","POI_9","Via_San_Gregorio_South","internal_poi",12.4925,41.8889,291966.663962061,4640481.51939171,2,"BS_6",6
"peak",12,7,"2025-01-01 12:00:07","POI_10","Celio_Vibenna_SW","internal_poi",12.4909,41.8894,291835.535935418,4640540.92146505,0,"BS_1",1
"peak",12,7,"2025-01-01 12:00:07","POI_11","Fori_NW_Corridor","internal_poi",12.4886,41.8919,291652.835490837,4640824.10358987,2,"BS_11",11
"peak",12,7,"2025-01-01 12:00:07","RING_1","East_Gateway","outer_ring",12.5056106953978,41.8900729164382,293058.249447481,4640580.0345363,0,NA,NA
"peak",12,7,"2025-01-01 12:00:07","RING_2","NorthEast_Gateway","outer_ring",12.5011216778201,41.8975472301072,292709.987386185,4641420.81352794,0,NA,NA
"peak",12,7,"2025-01-01 12:00:07","RING_3","North_Gateway","outer_ring",12.4908727144451,41.9004600181654,291869.208394544,4641769.07558924,1,NA,NA
"peak",12,7,"2025-01-01 12:00:07","RING_4","NorthWest_Gateway","outer_ring",12.4808693563532,41.8971044688183,291028.429402902,4641420.81352794,1,NA,NA
"peak",12,7,"2025-01-01 12:00:07","RING_5","West_Gateway","outer_ring",12.4769729611165,41.8894469226425,290680.167341606,4640580.0345363,0,NA,NA
"peak",12,7,"2025-01-01 12:00:07","RING_6","SouthWest_Gateway","outer_ring",12.4814641364389,41.8819736057984,291028.429402902,4639739.25554466,2,NA,NA
"peak",12,7,"2025-01-01 12:00:07","RING_7","South_Gateway","outer_ring",12.4917104880567,41.879061580949,291869.208394543,4639390.99348336,1,NA,NA
"peak",12,7,"2025-01-01 12:00:07","RING_8","SouthEast_Gateway","outer_ring",12.5017116884038,41.8824161334713,292709.987386185,4639739.25554466,0,NA,NA
"peak",12,8,"2025-01-01 12:00:08","POI_1","Colosseo_Monument","internal_poi",12.4923,41.8902,291954.291031947,4640626.35454427,0,"BS_10",10
"peak",12,8,"2025-01-01 12:00:08","POI_2","Colosseo_Metro","internal_poi",12.4922,41.89,291945.344737579,4640604.38948788,1,"BS_6",6
"peak",12,8,"2025-01-01 12:00:08","POI_3","Fori_Imperiali_Access","internal_poi",12.4908,41.892,291835.686465946,4640829.86417007,2,"BS_10",10
"peak",12,8,"2025-01-01 12:00:08","POI_4","Arco_di_Costantino","internal_poi",12.4915,41.8897,291886.292126329,4640572.7766213,2,"BS_1",1
"peak",12,8,"2025-01-01 12:00:08","POI_5","Via_Labicana_East","internal_poi",12.4949,41.8891,292166.441296483,4640497.90741843,1,"BS_4",4
"peak",12,8,"2025-01-01 12:00:08","POI_6","Ludus_Magnus_NE","internal_poi",12.494,41.8911,292098.258000928,4640722.16593515,1,"BS_9",9
"peak",12,8,"2025-01-01 12:00:08","POI_7","Parco_Oppio_North","internal_poi",12.4937,41.8921,292076.613112981,4640833.93178054,1,"BS_9",9
"peak",12,8,"2025-01-01 12:00:08","POI_8","Basilica_Massenzio_West","internal_poi",12.4894,41.8909,291715.957712805,4640711.12157789,2,"BS_5",5
"peak",12,8,"2025-01-01 12:00:08","POI_9","Via_San_Gregorio_South","internal_poi",12.4925,41.8889,291966.663962061,4640481.51939171,2,"BS_6",6
"peak",12,8,"2025-01-01 12:00:08","POI_10","Celio_Vibenna_SW","internal_poi",12.4909,41.8894,291835.535935418,4640540.92146505,1,"BS_1",1
"peak",12,8,"2025-01-01 12:00:08","POI_11","Fori_NW_Corridor","internal_poi",12.4886,41.8919,291652.835490837,4640824.10358987,2,"BS_11",11
"peak",12,8,"2025-01-01 12:00:08","RING_1","East_Gateway","outer_ring",12.5056106953978,41.8900729164382,293058.249447481,4640580.0345363,0,NA,NA
"peak",12,8,"2025-01-01 12:00:08","RING_2","NorthEast_Gateway","outer_ring",12.5011216778201,41.8975472301072,292709.987386185,4641420.81352794,0,NA,NA
"peak",12,8,"2025-01-01 12:00:08","RING_3","North_Gateway","outer_ring",12.4908727144451,41.9004600181654,291869.208394544,4641769.07558924,1,NA,NA
"peak",12,8,"2025-01-01 12:00:08","RING_4","NorthWest_Gateway","outer_ring",12.4808693563532,41.8971044688183,291028.429402902,4641420.81352794,1,NA,NA
"peak",12,8,"2025-01-01 12:00:08","RING_5","West_Gateway","outer_ring",12.4769729611165,41.8894469226425,290680.167341606,4640580.0345363,0,NA,NA
"peak",12,8,"2025-01-01 12:00:08","RING_6","SouthWest_Gateway","outer_ring",12.4814641364389,41.8819736057984,291028.429402902,4639739.25554466,2,NA,NA
"peak",12,8,"2025-01-01 12:00:08","RING_7","South_Gateway","outer_ring",12.4917104880567,41.879061580949,291869.208394543,4639390.99348336,1,NA,NA
"peak",12,8,"2025-01-01 12:00:08","RING_8","SouthEast_Gateway","outer_ring",12.5017116884038,41.8824161334713,292709.987386185,4639739.25554466,0,NA,NA
"peak",12,9,"2025-01-01 12:00:09","POI_1","Colosseo_Monument","internal_poi",12.4923,41.8902,291954.291031947,4640626.35454427,0,"BS_10",10
"peak",12,9,"2025-01-01 12:00:09","POI_2","Colosseo_Metro","internal_poi",12.4922,41.89,291945.344737579,4640604.38948788,1,"BS_6",6
